station_id,von_datum,bis_datum,geoBreite,geoLaenge
00662,19610101,20250611,52.2915,10.4464
00675,19800701,19880229,48.0333,7.6000
00685,19980112,20061101,49.9017,9.4281
00691,18900101,20250611,53.0451,8.7981
00699,19490101,19580630,53.1004,8.7834
00701,19490101,20250611,53.5332,8.5761
00702,19480101,19600630,53.5876,8.6015
00703,19370101,19850531,53.4779,9.1553
00704,19790401,20250611,53.4451,9.1390
00705,19850601,20061231,53.5312,9.1664
00706,19690901,20041231,47.8858,7.6611
00710,19831101,20031231,49.0249,8.6990
00717,19370101,20040630,51.3873,8.5737
00722,18960101,20250611,51.7986,10.6183
00727,19580101,19861231,49.7345,8.9557
00728,19810201,19861231,48.8171,13.2176
00729,19450101,19900131,50.8282,10.4540
00736,19350101,19991231,49.6303,7.1148
00743,19750101,20010928,51.2000,6.1333
00748,19660101,20080930,53.8887,9.1411
00755,19350101,20250611,49.5182,9.3213
00757,19901001,20250611,47.9625,7.9983
00760,19760601,20250611,53.3629,9.9435
00766,19650101,20250611,50.1745,7.0595
00769,19720101,20250611,52.2817,9.0890
00771,19470101,19551231,50.2769,9.1167
00772,19470101,19860430,48.6957,8.1744
00773,19860501,20041231,48.6743,8.1799
00781,19880101,19940331,51.6126,8.6190
00788,19650101,20250611,54.1193,8.8584
00793,19920101,19941031,49.6620,7.1098
00817,19521001,20250611,51.0306,8.8146
00829,19790701,19970831,50.3960,8.5465
00840,19891201,20250611,50.4313,12.6114
00842,19270101,19620630,50.4252,12.5953
00848,19400101,19781231,52.6146,10.0726
00850,19740801,20250611,52.5959,10.0296
00851,19480201,19960430,49.2505,12.6044
00853,18820101,20250611,50.7913,12.8720
00856,19980101,20250611,47.8843,12.5404
00860,20231001,20250611,52.2731,10.0163
00863,18900101,20120331,51.7904,10.3470
00865,19600101,19710228,52.8441,8.0624
00867,19470101,20250611,50.3066,10.9679
00873,19530301,19851231,50.2833,10.8000
00876,19460801,19881231,51.3040,13.0096
00879,20000701,20030331,51.7667,14.2833
00880,18870101,20250611,51.7759,14.3168
00881,19500101,20031231,49.0985,10.0979
00888,19650101,19911216,50.8149,12.3821
00891,19460101,20250611,53.8713,8.7060
00896,19490701,20250611,51.0778,10.8619
00909,19860101,19931130,54.0551,10.2984
00917,19950801,20250611,49.8809,8.6779
00918,19871001,19950731,49.8453,8.6240
00919,18620101,19740731,49.8697,8.6796
00920,19490101,19870930,49.8564,8.5929
00927,19851001,20001231,50.1957,6.8279
00931,19890801,20031231,47.8007,9.4108
00948,19210101,19501231,51.8512,12.2515
00950,19850101,19930228,51.9500,8.9000
00953,19500801,20250611,49.7619,7.0542
00954,19980101,20250611,54.1796,7.4587
00963,19520901,20250611,52.5881,8.3424
00964,19520101,19621231,50.0832,6.8904
00965,19480601,19900630,51.2401,13.4166
00970,19850401,19990630,49.4158,10.6734
00979,19470801,20230313,50.7364,8.2672
00981,19820501,20011231,49.3531,6.7490
00982,19470501,20061130,48.5701,10.4985
00983,20061201,20250611,48.5562,10.5600
00991,19540901,20250611,50.9116,13.7087
00998,19480101,20090201,48.7968,8.4921
01000,19910701,19970831,54.1442,11.8454
01001,19480701,20250611,51.6451,13.5747
01002,19510901,19710630,51.5179,13.4436
01003,18820101,19751231,51.1333,13.1167
01006,18980810,19610930,53.1399,11.2544
01010,19870401,20080923,52.9732,7.3209
01011,19901011,20250611,49.6017,7.7413
01013,19800401,20250611,47.6026,8.1697
01018,19510101,20041231,47.9422,8.5046
01032,19500101,19990930,51.5120,7.5345
01035,19931201,20001130,51.5206,7.6161
01047,18280101,19151231,51.0557,13.7274
01048,19340101,20250611,51.1278,13.7543
01050,19490101,20250611,51.0221,13.8470
01051,19360101,20231003,51.0249,13.7750
01052,19930501,20250611,52.2174,12.1641
01053,19370101,20030731,51.7337,9.0445
01066,19630101,19761231,51.5040,10.2613
01072,19520101,20250611,49.4719,8.1929
01073,19360101,19521231,49.4686,8.1797
01074,19470401,19730228,51.3043,12.0810
01076,19360801,20081231,48.0135,8.5343
01078,19520101,20250611,51.2960,6.7686
01079,19350101,19960731,51.1998,6.7574
01084,19940501,20070531,51.3940,6.7026
01087,19510101,19931231,51.4634,6.7321
01091,19511001,20071231,51.2806,10.7362
01102,19871101,20021231,48.7201,9.5328
01103,19780101,20250611,48.1003,11.9872
01106,19470101,19501231,52.8239,13.7979
01107,19630101,20250611,49.8520,10.4991
01126,19840401,19990130,49.9600,8.6400
01130,19720401,20050131,54.6282,9.3649
01146,19850701,19870731,48.6593,8.9121
01154,19450101,19660930,48.3416,12.8820
01161,19550101,20250611,48.8778,11.2349
01163,19761101,20070224,54.2667,8.8500
01165,19530601,19861031,51.2167,10.3167
01169,19760201,19990930,47.6288,7.5959
01172,19510101,19891130,51.8189,9.8871
01182,19470101,20010531,51.5029,11.5705
01188,19470101,19740831,50.7041,10.8576
01197,19410101,20250611,48.9895,10.1312
01200,19980101,20250611,54.0691,9.0105
01201,19470701,20001231,50.9281,6.5646
01204,19490101,19651231,53.2346,8.4612
01207,19480601,20250611,50.2705,12.2742
01214,19871101,20250611,48.2012,8.1088
01219,19470101,19980310,53.3449,7.1909
01221,19500301,19741231,53.3707,7.2236
01224,19751101,20250611,48.1378,7.8351
01228,20000701,20250601,54.1651,6.3460
01229,19470101,19970331,50.3324,7.6975
01238,19510101,19960930,50.9884,7.4250
01239,19860801,20080923,47.8516,8.7673
01243,19760101,19850930,48.4734,9.3028
01246,20150801,20250611,51.8418,8.0607
01254,19470701,20021130,49.1307,8.9165
01255,20021201,20250611,49.1661,8.8483
01261,19690101,19920731,48.3192,11.9440
01262,19920517,20250611,48.3477,11.8134
01266,19640501,20250611,54.2992,9.3162
01270,19510101,20250611,50.9829,10.9608
01275,19670401,19801231,48.3008,13.1398
01276,19800801,20021231,47.6358,9.5392
01279,19490101,20250611,49.6497,11.0075
01280,19470401,19531231,49.5692,10.9929
01281,19820101,20010430,49.5653,10.9729
01287,19911201,20060831,49.8589,9.2861
01292,19670101,20060430,49.7522,11.8222
01297,19470901,20250611,51.2041,10.0138
01299,19790901,19991031,53.6476,7.6085
01300,19380101,20250611,51.2540,8.1565
01303,19350101,20250611,51.4041,6.9677
01327,19370101,20250611,50.7119,6.7905
01329,19360101,20031231,54.1340,10.5865
01332,19660701,20250611,48.4832,12.7241
01339,19710101,20250611,52.9157,10.1885
01341,20081201,20110929,54.6000,11.1500
01345,19470301,19621231,53.3346,13.4371
01346,19450101,20250611,47.8748,8.0038
01347,19800201,19870131,47.8555,8.1155
01357,19480101,20250611,49.9807,11.8376
01358,18900801,20250611,50.4283,12.9536
01359,19820101,19921126,50.0242,11.2219
01372,19920101,20021031,47.4608,10.2696
01374,19490112,19720430,50.5050,10.1668
01378,19850701,20061231,54.8086,9.4182
01379,19570101,20250611,54.7737,9.3753
01380,19410101,19561231,54.8147,9.4580
01392,19871001,20061231,49.7316,12.3489
01403,19650401,19801031,50.0616,9.4550
01410,19540701,19970331,51.3512,11.0958
01411,19491001,20250611,50.5309,10.0479
01415,19760601,19881231,50.0333,8.5333
